Year,World,OECD,BRICS,Europe,North_America,Latin_America,Asia,Pacific,Africa,Middle_East,CIS
1990,178730.19,52602.49,26621.07,20655,24667.23,5373.06,24574.19,1197.89,4408,2581.86,16049.4
1991,179765.59,53207.25,26434.99,20632,24841.68,5500.99,24783.53,1186.26,4536,2744.68,15898.21
1992,179846.42,53788.75,25993.05,20190,25341.77,5628.92,25690.67,1209.52,4582,3081.95,14339.79
1993,182056.56,54614.48,26283.8,20190,25830.23,5675.44,26876.93,1267.67,4722,3349.44,13246.57
1994,183439.79,55579.77,25993.05,20085,26365.21,5989.45,28098.08,1279.3,4803,3640.19,11606.74
1995,188138.58,56754.4,26946.71,20713,26714.11,6024.34,29761.17,1290.93,5001,3744.86,11188.06
1996,192907,58417.49,27481.69,21446,27295.61,6303.46,30772.98,1372.34,5152,3814.64,10850.79
1997,194511.68,59022.25,27446.8,21341,27574.73,6570.95,31435.89,1407.23,5280,4058.87,10373.96
1998,195267.62,59219.96,27528.21,21504,27772.44,6803.55,31331.22,1442.12,5431,4082.13,10152.99
1999,199512.35,60301.55,28319.05,21306,28528.39,6989.63,32412.81,1477.01,5559,4244.95,10373.96
2000,204013.41,61685.52,28923.81,21539,29342.49,7024.52,33564.18,1500.27,5617,4314.73,10501.89
2001,205443.92,61452.92,29528.57,21934,28795.88,7036.15,34227.09,1477.01,5757,4663.63,10571.67
2002,209537.75,61987.9,30552.01,21969,29156.41,7280.38,35680.84,1523.53,5850,4884.6,10653.08
2003,217272.34,62871.78,33157.13,22516,29377.38,7501.35,38181.29,1535.16,6141,4954.38,11036.87
2004,226470.43,64058.04,35994.85,22748,29993.77,7780.47,41437.69,1558.42,6466,5245.13,11188.06
2005,232530.28,64453.46,38169.66,22865,30168.22,8059.59,43693.91,1570.05,6652,5675.44,11222.95
2006,238799.28,64616.28,40670.11,23109,29958.88,8303.82,46124.58,1616.57,6862,5989.45,11548.59
2007,245148.89,64883.77,43112.41,22830,30424.08,8571.31,48555.25,1663.09,7129,6315.09,11664.89
2008,247451.62,64034.78,44635.94,22830,29644.87,8780.65,49636.84,1721.24,7443,6850.07,11874.23
2009,245218.99,61197.06,46426.96,21609,28214.38,8559.68,51858.17,1721.24,7606,7059.41,10967.09
2010,258709.46,63255.57,50323.01,22469,28830.77,9117.92,56010.08,1732.87,7804,7361.79,11804.45
2011,262908.42,62127.46,53207.25,21795,28598.17,9304,58324.45,1744.5,8118,7524.61,12164.98
2012,266397.01,61685.52,54975.01,21690,28167.86,9594.75,60022.43,1744.5,8304,7943.29,12269.65
2013,270049.24,62080.94,56068.23,21481,28667.95,9978.54,61499.44,1767.76,8432,8071.22,12002.16
2014,272374.88,61499.44,57405.68,20690,29063.37,9943.65,62895.04,1767.76,8897,8513.16,11699.78
2015,272724.03,61511.07,57533.61,21039,28784.25,9873.87,63476.54,1767.76,8839,8675.98,11222.95
2016,274095.8,61545.96,57742.95,21225,28563.28,9745.94,63941.74,1767.76,9106,8862.06,11595.11
2017,279050.05,61929.75,59429.3,21620,28563.28,9687.79,65721.13,1791.02,9304,9210.96,11792.82
2018,285679.26,62592.66,61673.89,21399,29470.42,9513.34,68035.5,1791.02,9560,9257.48,12385.95
2019,287842.3,61825.08,63255.57,21062,29249.45,9478.45,69582.29,1802.65,9641,9455.19,12490.62
2020,277747.92,57487.09,63162.53,19643,27063.01,8815.54,69256.65,1767.76,9409,9338.89,11804.45
